,ID,PF
0,A0A087X1C5,PF00067
1,A0AVF1,PF13181
2,A0AVI4,PF10272
3,A0JLT2,PF10278
4,A0M8Q6,PF07654
5,A0PJK1,PF00474
6,A1A519,PF17734
7,A1E959,PF15424
8,A1KXE4,PF14944
9,A1L0T0,PF02776
10,A1L0T0,PF00205
11,A1L0T0,PF02775
12,A1L167,PF00179
13,A1L3X0,PF01151
14,A1Z1Q3,PF01661
15,A2A288,PF11977
16,A2A288,PF18039
17,A2IDD5,PF14739
18,A2RU30,PF14722
19,A2RU49,PF01636
20,A2RUC4,PF13621
21,A2RUT3,PF15098
22,A2VDF0,PF05025
23,A3KFT3,PF13853
24,A4D1S5,PF00071
25,A4D1T9,PF00089
26,A4D2G3,PF13853
27,A4FU49,PF07653
28,A5D8T8,PF00059
29,A5D8T8,PF00188
30,A5D8V6,PF07200
31,A5LHX3,PF00227
32,A5X5Y0,PF02931
33,A5X5Y0,PF02932
34,A6NC51,PF10277
35,A6NCN2,PF00038
36,A6NCS4,PF00046
37,A6NCV1,PF13853
38,A6ND48,PF13853
39,A6NDE4,PF00076
40,A6NDE4,PF08081
41,A6NDH6,PF13853
42,A6NDL8,PF13853
43,A6NDP7,PF01284
44,A6NDV4,PF12036
45,A6NEC2,PF17900
46,A6NEC2,PF01433
47,A6NED2,PF00415
48,A6NET4,PF13853
49,A6NF83,PF10195
50,A6NF89,PF13853
51,A6NFA1,PF01963
52,A6NFC9,PF00001
53,A6NFH5,PF00061
54,A6NFY7,PF05347
55,A6NGB9,PF02205
56,A6NGU5,PF01019
57,A6NGY5,PF13853
58,A6NH00,PF13853
59,A6NHA9,PF13853
60,A6NHG4,PF01187
61,A6NHG9,PF13853
62,A6NHX0,PF18700
63,A6NHX0,PF13840
64,A6NI73,PF13895
65,A6NIH7,PF05351
66,A6NIJ9,PF13853
67,A6NIX2,PF00412
68,A6NJV1,PF10629
69,A6NJZ3,PF13853
70,A6NK02,PF00643
71,A6NK02,PF15227
72,A6NK02,PF00622
73,A6NK02,PF13765
74,A6NKF2,PF01388
75,A6NKK0,PF13853
76,A6NL08,PF13853
77,A6NL26,PF13853
78,A6NL99,PF00230
79,A6NM03,PF13853
80,A6NM76,PF13853
81,A6NMB1,PF07679
82,A6NMB1,PF13927
83,A6NMB1,PF07686
84,A6NMN3,PF17734
85,A6NMS3,PF13853
86,A6NMY6,PF00191
87,A6NMZ5,PF13853
88,A6NNB3,PF04505
89,A6NND4,PF13853
90,A6NNZ2,PF00091
91,A6NNZ2,PF03953
92,A7E2F4,PF19046
93,A7E2F4,PF15070
94,A7E2U8,PF15239
95,A8K0Z3,PF11945
96,A8K4G0,PF07686
97,A8MPY1,PF02931
98,A8MPY1,PF02932
99,A8MQ03,PF10631
100,A8MQT2,PF19046
101,A8MQT2,PF15070
102,A8MT69,PF09415
103,A8MTJ3,PF00503
104,A8MTZ0,PF14777
105,A8MU46,PF00307
106,A8MVW5,PF13927
107,A8MX76,PF00648
108,A8MX76,PF01067
109,A9UHW6,PF02854
110,B0YJ81,PF04387
111,B2RNN3,PF00386
112,B2RNN3,PF01391
113,B2RUZ4,PF15875
114,B2RXF5,PF13894
115,B2RXF5,PF00651
116,B2RXF5,PF00096
117,B5MD39,PF01019
118,B7U540,PF17655
119,B7U540,PF08466
120,B7U540,PF01007
121,B7ZAQ6,PF12537
122,B7ZAQ6,PF12430
123,B9A064,PF07654
124,B9EJG8,PF10277
125,C4AMC7,PF11945
126,C9JE40,PF09770
127,C9JLW8,PF14799
128,C9JRZ8,PF00248
129,D3W0D1,PF00059
130,D6RGH6,PF07412
131,H0Y354,PF14976
132,H0YL14,PF17685
133,K9M1U5,PF15177
134,O00115,PF03265
135,O00116,PF02913
136,O00116,PF01565
137,O00124,PF00789
138,O00141,PF00433
139,O00141,PF00069
140,O00142,PF01712
141,O00144,PF01392
142,O00144,PF01534
143,O00148,PF00270
144,O00148,PF00271
145,O00151,PF15936
146,O00151,PF00412
147,O00151,PF00595
148,O00154,PF03061
149,O00155,PF00001
150,O00161,PF00835
151,O00167,PF00702
152,O00168,PF02038
153,O00170,PF00254
154,O00178,PF00009
155,O00180,PF07885
156,O00182,PF00337
157,O00186,PF00995
158,O00187,PF00431
159,O00187,PF07645
160,O00187,PF00089
161,O00187,PF00084
162,O00189,PF01217
163,O00189,PF00928
164,O00194,PF00071
165,O00198,PF15196
166,O00204,PF00685
167,O00212,PF00071
168,O00214,PF00337
169,O00217,PF12838
170,O00219,PF13641
171,O00220,PF00020
172,O00220,PF00531
173,O00221,PF00023
174,O00230,PF03002
175,O00231,PF18055
176,O00231,PF01399
177,O00231,PF18503
178,O00232,PF18098
179,O00232,PF01399
180,O00233,PF18265
181,O00233,PF17820
182,O00237,PF13639
183,O00238,PF08515
184,O00238,PF07714
185,O00238,PF01064
186,O00241,PF07686
187,O00241,PF07654
188,O00244,PF00403
189,O00253,PF05039
190,O00254,PF00001
191,O00255,PF05053
192,O00257,PF17218
193,O00257,PF00385
194,O00258,PF04420
195,O00264,PF00173
196,O00270,PF00001
197,O00273,PF02017
198,O00273,PF09033
199,O00292,PF00688
200,O00292,PF00019
201,O00294,PF01167
202,O00299,PF13410
203,O00299,PF13409
204,O00300,PF00020
205,O00300,PF00531
206,O00303,PF01398
207,O00303,PF13012
208,O00305,PF12052
209,O00305,PF00625
210,O00311,PF00069
211,O00322,PF00335
212,O00327,PF00989
213,O00327,PF14598
214,O00327,PF00010
215,O00330,PF02817
216,O00330,PF00364
217,O00330,PF00198
218,O00337,PF07662
219,O00337,PF01773
220,O00337,PF07670
221,O00338,PF00685
222,O00341,PF00375
223,O00358,PF00250
224,O00398,PF00001
225,O00400,PF13000
226,O00401,PF00786
227,O00401,PF00568
228,O00401,PF02205
229,O00409,PF00250
230,O00421,PF00001
231,O00422,PF06487
232,O00425,PF00076
233,O00425,PF00013
234,O00442,PF01137
235,O00442,PF05189
236,O00451,PF02351
237,O00453,PF05083
238,O00463,PF02176
239,O00463,PF00097
240,O00472,PF07303
241,O00472,PF10390
242,O00476,PF07690
243,O00478,PF13765
244,O00478,PF00622
245,O00478,PF07686
246,O00481,PF13765
247,O00481,PF00622
248,O00481,PF07686
249,O00482,PF00105
250,O00482,PF00104
251,O00483,PF06522
252,O00487,PF01398
253,O00487,PF13012
254,O00488,PF12171
255,O00499,PF14604
256,O00499,PF03114
257,O00501,PF00822
258,O00505,PF16186
259,O00505,PF00514
260,O00505,PF01749
261,O00506,PF00069
262,O00519,PF01425
263,O00526,PF07353
264,O00541,PF16589
265,O00541,PF06732
266,O00560,PF00595
267,O00566,PF04006
268,O00567,PF08156
269,O00567,PF01798
270,O00571,PF00270
271,O00571,PF00271
272,O00574,PF00001
273,O00584,PF00445
274,O00585,PF00048
275,O00587,PF02434
276,O00590,PF00001
277,O00592,PF06365
278,O00602,PF00147
279,O00602,PF01391
280,O00622,PF00093
281,O00622,PF00219
282,O00622,PF00007
283,O00622,PF19035
284,O00623,PF04757
285,O00624,PF07690
286,O00625,PF02678
287,O00625,PF05726
288,O00626,PF00048
289,O00628,PF00400
290,O00629,PF16186
291,O00629,PF00514
292,O00629,PF01749
293,O00631,PF05366
294,O00635,PF00643
295,O00635,PF15227
296,O00635,PF00622
297,O00635,PF13765
298,O00712,PF00859
299,O00712,PF10524
300,O00712,PF03165
301,O00716,PF02319
302,O00716,PF16421
303,O00743,PF00149
304,O00744,PF00110
305,O00746,PF00334
306,O00748,PF00135
307,O00755,PF00110
308,O00757,PF18913
309,O00757,PF00316
310,O00762,PF00179
311,O00764,PF08543
312,O14492,PF08916
313,O14492,PF00017
314,O14492,PF00169
315,O14493,PF00822
316,O14494,PF01569
317,O14495,PF01569
318,O14498,PF13855
319,O14498,PF07679
320,O14503,PF07527
321,O14503,PF00010
322,O14508,PF00017
323,O14508,PF07525
324,O14512,PF00017
325,O14512,PF07525
326,O14519,PF09806
327,O14520,PF00230
328,O14521,PF05328
329,O14530,PF00085
330,O14531,PF01979
331,O14543,PF00017
332,O14544,PF00017
333,O14544,PF07525
334,O14548,PF02238
335,O14556,PF00044
336,O14556,PF02800
337,O14558,PF00011
338,O14558,PF00525
339,O14561,PF00550
340,O14562,PF00240
341,O14576,PF00400
342,O14576,PF11540
343,O14579,PF04733
344,O14581,PF13853
345,O14593,PF00023
346,O14595,PF03031
347,O14610,PF00631
348,O14613,PF00786
349,O14613,PF14957
350,O14618,PF00080
351,O14618,PF00403
352,O14625,PF00048
353,O14640,PF00595
354,O14640,PF02377
355,O14640,PF00778
356,O14640,PF12316
357,O14640,PF00610
358,O14645,PF10211
359,O14649,PF07885
360,O14653,PF12352
361,O14656,PF06309
362,O14657,PF06309
363,O14662,PF05739
364,O14662,PF00804
365,O14668,PF00594
366,O14669,PF00594
367,O14678,PF06472
368,O14678,PF00005
369,O14681,PF07264
370,O14682,PF01344
371,O14682,PF07707
372,O14682,PF00651
373,O14684,PF01124
374,O14713,PF10480
375,O14717,PF00145
376,O14718,PF00001
377,O14730,PF01163
378,O14732,PF00459
379,O14733,PF00069
380,O14734,PF13622
381,O14735,PF01066
382,O14737,PF01984
383,O14744,PF05185
384,O14744,PF17285
385,O14744,PF17286
386,O14745,PF09007
387,O14745,PF00595
388,O14757,PF00069
389,O14763,PF00020
390,O14763,PF00531
391,O14764,PF02931
392,O14764,PF02932
393,O14772,PF07959
394,O14773,PF09286
395,O14773,PF00082
396,O14775,PF00400
397,O14777,PF03801
398,O14777,PF18077
399,O14788,PF00229
400,O14791,PF05461
401,O14792,PF00685
402,O14796,PF00017
403,O14798,PF00020
404,O14804,PF00001
405,O14807,PF00071
406,O14810,PF05835
407,O14813,PF00046
408,O14817,PF00335
409,O14818,PF00227
410,O14818,PF10584
411,O14828,PF04144
412,O14829,PF08321
413,O14829,PF00036
414,O14829,PF00149
415,O14829,PF00612
416,O14832,PF05721
417,O14836,PF09305
418,O14842,PF00001
419,O14843,PF00001
420,O14862,PF02760
421,O14862,PF02758
422,O14863,PF01545
423,O14874,PF02518
424,O14874,PF10436
425,O14879,PF13424
426,O14879,PF13181
427,O14879,PF13176
428,O14880,PF01124
429,O14893,PF04938
430,O14894,PF05805
431,O14896,PF00605
432,O14896,PF10401
433,O14901,PF00096
434,O14904,PF00110
435,O14907,PF00595
436,O14908,PF00595
437,O14910,PF02828
438,O14910,PF00595
439,O14925,PF02466
